{   'action_dim': 6,
    'alpha': 0.7,

#Games: 4224 #Frames: 4224000  Train_Max: 13194.97  Test_Score: 13218.10  Avg: 12807.64  ENV:  HalfCheetah-v2  DDPG Reward: 13119.56  PG Loss: -1288.9558

#Games: 4235 #Frames: 4235000  Train_Max: 13318.64  Test_Score: 13230.75  Avg: 12843.85  ENV:  HalfCheetah-v2  DDPG Reward: 13085.93  PG Loss: -1289.5077

#Games: 4246 #Frames: 4246000  Train_Max: 13296.76  Test_Score: 13151.15  Avg: 12880.91  ENV:  HalfCheetah-v2  DDPG Reward: 13449.49  PG Loss: -1290.4467

#Games: 4257 #Frames: 4257000  Train_Max: 13134.42  Test_Score: 13266.21  Avg: 12941.70  ENV:  HalfCheetah-v2  DDPG Reward: 12958.44  PG Loss: -1291.0575

#Games: 4268 #Frames: 4268000  Train_Max: 13269.63  Test_Score: 13110.77  Avg: 12993.24  ENV:  HalfCheetah-v2  DDPG Reward: 12977.43  PG Loss: -1292.1326

#Games: 4279 #Frames: 4279000  Train_Max: 13182.86  Test_Score: 13177.42  Avg: 13068.84  ENV:  HalfCheetah-v2  DDPG Reward: 13020.71  PG Loss: -1291.7910

Sync from RL --> Nevo
#Games: 4290 #Frames: 4290000  Train_Max: 13141.00  Test_Score: 12908.72  Avg: 13166.90  ENV:  HalfCheetah-v2  DDPG Reward: 13367.30  PG Loss: -1291.9421

#Games: 4301 #Frames: 4301000  Train_Max: 13196.31  Test_Score: 13257.65  Avg: 13175.99  ENV:  HalfCheetah-v2  DDPG Reward: 13036.54  PG Loss: -1292.1571

#Games: 4312 #Frames: 4312000  Train_Max: 13478.60  Test_Score: 13297.50  Avg: 13182.24  ENV:  HalfCheetah-v2  DDPG Reward: 13053.01  PG Loss: -1293.6013

#Games: 4323 #Frames: 4323000  Train_Max: 13317.75  Test_Score: 13270.01  Avg: 13184.91  ENV:  HalfCheetah-v2  DDPG Reward: 13148.74  PG Loss: -1294.4943

#Games: 4334 #Frames: 4334000  Train_Max: 13393.92  Test_Score: 13312.47  Avg: 13188.83  ENV:  HalfCheetah-v2  DDPG Reward: 13391.95  PG Loss: -1294.1285

#Games: 4345 #Frames: 4345000  Train_Max: 13389.76  Test_Score: 13203.06  Avg: 13198.26  ENV:  HalfCheetah-v2  DDPG Reward: 13252.90  PG Loss: -1295.5038

#Games: 4356 #Frames: 4356000  Train_Max: 13318.20  Test_Score: 13137.62  Avg: 13195.50  ENV:  HalfCheetah-v2  DDPG Reward: 13086.65  PG Loss: -1295.4271

#Games: 4367 #Frames: 4367000  Train_Max: 13231.18  Test_Score: 13174.00  Avg: 13194.14  ENV:  HalfCheetah-v2  DDPG Reward: 12822.20  PG Loss: -1297.1949

#Games: 4378 #Frames: 4378000  Train_Max: 13180.05  Test_Score: 13214.70  Avg: 13184.92  ENV:  HalfCheetah-v2  DDPG Reward: 13168.09  PG Loss: -1297.9858

#Games: 4389 #Frames: 4389000  Train_Max: 13328.68  Test_Score: 13112.10  Avg: 13195.32  ENV:  HalfCheetah-v2  DDPG Reward: 13183.84  PG Loss: -1299.7891

Sync from RL --> Nevo
#Games: 4400 #Frames: 4400000  Train_Max: 13204.34  Test_Score: 13189.69  Avg: 13188.78  ENV:  HalfCheetah-v2  DDPG Reward: 13336.72  PG Loss: -1300.8817

#Games: 4411 #Frames: 4411000  Train_Max: 13349.14  Test_Score: 13094.39  Avg: 13216.88  ENV:  HalfCheetah-v2  DDPG Reward: 13312.46  PG Loss: -1299.7878

Progress Saved
#Games: 4422 #Frames: 4422000  Train_Max: 13128.30  Test_Score: 13139.46  Avg: 13200.56  ENV:  HalfCheetah-v2  DDPG Reward: 12926.63  PG Loss: -1300.4141

#Games: 4433 #Frames: 4433000  Train_Max: 13227.19  Test_Score: 13219.01  Avg: 13184.75  ENV:  HalfCheetah-v2  DDPG Reward: 13329.68  PG Loss: -1301.4307

#Games: 4444 #Frames: 4444000  Train_Max: 13309.66  Test_Score: 13288.19  Avg: 13179.65  ENV:  HalfCheetah-v2  DDPG Reward: 13116.19  PG Loss: -1301.6694

#Games: 4455 #Frames: 4455000  Train_Max: 13183.15  Test_Score: 13220.92  Avg: 13177.22  ENV:  HalfCheetah-v2  DDPG Reward: 13059.75  PG Loss: -1301.2889

#Games: 4466 #Frames: 4466000  Train_Max: 13267.50  Test_Score: 13185.46  Avg: 13179.01  ENV:  HalfCheetah-v2  DDPG Reward: 13382.34  PG Loss: -1302.5553

#Games: 4477 #Frames: 4477000  Train_Max: 13381.61  Test_Score: 13129.49  Avg: 13183.79  ENV:  HalfCheetah-v2  DDPG Reward: 13052.80  PG Loss: -1304.4001

#Games: 4488 #Frames: 4488000  Train_Max: 13138.44  Test_Score: 13224.94  Avg: 13179.34  ENV:  HalfCheetah-v2  DDPG Reward: 13244.41  PG Loss: -1305.7241

#Games: 4499 #Frames: 4499000  Train_Max: 13357.16  Test_Score: 13194.21  Avg: 13180.37  ENV:  HalfCheetah-v2  DDPG Reward: 13380.51  PG Loss: -1306.7228

Sync from RL --> Nevo
#Games: 4510 #Frames: 4510000  Train_Max: 13254.17  Test_Score: 13232.83  Avg: 13188.58  ENV:  HalfCheetah-v2  DDPG Reward: 13241.31  PG Loss: -1308.8470

#Games: 4521 #Frames: 4521000  Train_Max: 13400.49  Test_Score: 13282.56  Avg: 13192.89  ENV:  HalfCheetah-v2  DDPG Reward: 13242.30  PG Loss: -1309.3929

#Games: 4532 #Frames: 4532000  Train_Max: 13526.20  Test_Score: 13387.98  Avg: 13211.71  ENV:  HalfCheetah-v2  DDPG Reward: 12910.26  PG Loss: -1310.9969

#Games: 4543 #Frames: 4543000  Train_Max: 13278.92  Test_Score: 13326.58  Avg: 13236.56  ENV:  HalfCheetah-v2  DDPG Reward: 13217.04  PG Loss: -1312.9088

#Games: 4554 #Frames: 4554000  Train_Max: 13369.20  Test_Score: 13347.15  Avg: 13247.32  ENV:  HalfCheetah-v2  DDPG Reward: 13080.83  PG Loss: -1312.6099

#Games: 4565 #Frames: 4565000  Train_Max: 13340.57  Test_Score: 13399.30  Avg: 13253.21  ENV:  HalfCheetah-v2  DDPG Reward: 13002.25  PG Loss: -1313.4888

#Games: 4576 #Frames: 4576000  Train_Max: 13311.01  Test_Score: 13338.97  Avg: 13271.05  ENV:  HalfCheetah-v2  DDPG Reward: 12113.92  PG Loss: -1313.9277

#Games: 4587 #Frames: 4587000  Train_Max: 13219.14  Test_Score: 13443.23  Avg: 13286.40  ENV:  HalfCheetah-v2  DDPG Reward: 13125.49  PG Loss: -1315.0326

#Games: 4598 #Frames: 4598000  Train_Max: 13504.33  Test_Score: 13378.65  Avg: 13317.77  ENV:  HalfCheetah-v2  DDPG Reward: 13171.06  PG Loss: -1315.7220

#Games: 4609 #Frames: 4609000  Train_Max: 13300.15  Test_Score: 13347.52  Avg: 13333.14  ENV:  HalfCheetah-v2  DDPG Reward: 13190.70  PG Loss: -1317.9915

Progress Saved
Sync from RL --> Nevo
#Games: 4620 #Frames: 4620000  Train_Max: 13332.25  Test_Score: 13317.69  Avg: 13348.48  ENV:  HalfCheetah-v2  DDPG Reward: 13317.54  PG Loss: -1320.4088

#Games: 4631 #Frames: 4631000  Train_Max: 13389.72  Test_Score: 13354.63  Avg: 13356.96  ENV:  HalfCheetah-v2  DDPG Reward: 13103.90  PG Loss: -1322.3839

#Games: 4642 #Frames: 4642000  Train_Max: 13491.11  Test_Score: 13165.04  Avg: 13364.17  ENV:  HalfCheetah-v2  DDPG Reward: 13401.09  PG Loss: -1323.7407

#Games: 4653 #Frames: 4653000  Train_Max: 13570.35  Test_Score: 11588.00  Avg: 13341.87  ENV:  HalfCheetah-v2  DDPG Reward: 13177.53  PG Loss: -1321.9142

#Games: 4664 #Frames: 4664000  Train_Max: 13164.64  Test_Score: 13444.29  Avg: 13168.02  ENV:  HalfCheetah-v2  DDPG Reward: 13414.72  PG Loss: -1322.2490

#Games: 4675 #Frames: 4675000  Train_Max: 12983.21  Test_Score: 13373.83  Avg: 13177.73  ENV:  HalfCheetah-v2  DDPG Reward: 13118.05  PG Loss: -1322.6643

#Games: 4686 #Frames: 4686000  Train_Max: 13194.70  Test_Score: 13289.19  Avg: 13175.19  ENV:  HalfCheetah-v2  DDPG Reward: 13469.59  PG Loss: -1323.2709

#Games: 4697 #Frames: 4697000  Train_Max: 13347.02  Test_Score: 13217.43  Avg: 13170.21  ENV:  HalfCheetah-v2  DDPG Reward: 13473.35  PG Loss: -1323.4558

#Games: 4708 #Frames: 4708000  Train_Max: 13596.14  Test_Score: 13258.98  Avg: 13147.63  ENV:  HalfCheetah-v2  DDPG Reward: 13428.60  PG Loss: -1323.7668

#Games: 4719 #Frames: 4719000  Train_Max: 13382.65  Test_Score: 13292.18  Avg: 13135.66  ENV:  HalfCheetah-v2  DDPG Reward: 13606.14  PG Loss: -1323.7678

Sync from RL --> Nevo
#Games: 4730 #Frames: 4730000  Train_Max: 13196.63  Test_Score: 13178.80  Avg: 13130.13  ENV:  HalfCheetah-v2  DDPG Reward: 13144.94  PG Loss: -1322.9768

#Games: 4741 #Frames: 4741000  Train_Max: 13236.85  Test_Score: 13200.46  Avg: 13116.24  ENV:  HalfCheetah-v2  DDPG Reward: 13349.02  PG Loss: -1323.3925

#Games: 4752 #Frames: 4752000  Train_Max: 13355.02  Test_Score: 13181.47  Avg: 13100.82  ENV:  HalfCheetah-v2  DDPG Reward: 13606.75  PG Loss: -1324.9547

#Games: 4763 #Frames: 4763000  Train_Max: 13151.88  Test_Score: 13077.31  Avg: 13102.47  ENV:  HalfCheetah-v2  DDPG Reward: 13576.73  PG Loss: -1324.5382

#Games: 4774 #Frames: 4774000  Train_Max: 13115.86  Test_Score: 13162.15  Avg: 13251.40  ENV:  HalfCheetah-v2  DDPG Reward: 13622.28  PG Loss: -1324.3451

#Games: 4785 #Frames: 4785000  Train_Max: 13303.21  Test_Score: 13174.58  Avg: 13223.18  ENV:  HalfCheetah-v2  DDPG Reward: 12992.28  PG Loss: -1323.7458

#Games: 4796 #Frames: 4796000  Train_Max: 13194.72  Test_Score: 13223.65  Avg: 13203.26  ENV:  HalfCheetah-v2  DDPG Reward: 13427.54  PG Loss: -1322.8715

#Games: 4807 #Frames: 4807000  Train_Max: 13145.06  Test_Score: 13189.99  Avg: 13196.70  ENV:  HalfCheetah-v2  DDPG Reward: 13357.69  PG Loss: -1323.7299

Progress Saved
#Games: 4818 #Frames: 4818000  Train_Max: 13124.44  Test_Score: 13228.29  Avg: 13193.96  ENV:  HalfCheetah-v2  DDPG Reward: 13088.07  PG Loss: -1324.2908

#Games: 4829 #Frames: 4829000  Train_Max: 13510.71  Test_Score: 13242.91  Avg: 13190.89  ENV:  HalfCheetah-v2  DDPG Reward: 13286.45  PG Loss: -1324.1375

Sync from RL --> Nevo
#Games: 4840 #Frames: 4840000  Train_Max: 13198.86  Test_Score: 13165.59  Avg: 13185.96  ENV:  HalfCheetah-v2  DDPG Reward: 13602.70  PG Loss: -1323.7958

#Games: 4851 #Frames: 4851000  Train_Max: 13690.22  Test_Score: 13533.03  Avg: 13184.64  ENV:  HalfCheetah-v2  DDPG Reward: 13617.91  PG Loss: -1323.5942

#Games: 4862 #Frames: 4862000  Train_Max: 13575.58  Test_Score: 13689.74  Avg: 13217.90  ENV:  HalfCheetah-v2  DDPG Reward: 13363.91  PG Loss: -1322.1793

#Games: 4873 #Frames: 4873000  Train_Max: 13408.53  Test_Score: 13322.16  Avg: 13268.72  ENV:  HalfCheetah-v2  DDPG Reward: 13453.95  PG Loss: -1321.8207

#Games: 4884 #Frames: 4884000  Train_Max: 13432.62  Test_Score: 13201.16  Avg: 13293.21  ENV:  HalfCheetah-v2  DDPG Reward: 12845.32  PG Loss: -1321.1366

#Games: 4895 #Frames: 4895000  Train_Max: 13309.73  Test_Score: 13158.94  Avg: 13297.11  ENV:  HalfCheetah-v2  DDPG Reward: 13583.63  PG Loss: -1322.1139

#Games: 4906 #Frames: 4906000  Train_Max: 13266.95  Test_Score: 13041.09  Avg: 13295.55  ENV:  HalfCheetah-v2  DDPG Reward: 13347.12  PG Loss: -1322.9340

#Games: 4917 #Frames: 4917000  Train_Max: 13304.95  Test_Score: 13143.23  Avg: 13277.29  ENV:  HalfCheetah-v2  DDPG Reward: 13502.01  PG Loss: -1323.2709

#Games: 4928 #Frames: 4928000  Train_Max: 13010.82  Test_Score: 13064.49  Avg: 13272.61  ENV:  HalfCheetah-v2  DDPG Reward: 13335.64  PG Loss: -1323.4507

#Games: 4939 #Frames: 4939000  Train_Max: 13509.86  Test_Score: 13505.38  Avg: 13256.23  ENV:  HalfCheetah-v2  DDPG Reward: 13214.31  PG Loss: -1324.7666

Sync from RL --> Nevo
#Games: 4950 #Frames: 4950000  Train_Max: 13370.22  Test_Score: 13424.34  Avg: 13282.48  ENV:  HalfCheetah-v2  DDPG Reward: 13288.49  PG Loss: -1327.2786

#Games: 4961 #Frames: 4961000  Train_Max: 13586.40  Test_Score: 13232.84  Avg: 13308.36  ENV:  HalfCheetah-v2  DDPG Reward: 13323.21  PG Loss: -1328.8994

#Games: 4972 #Frames: 4972000  Train_Max: 13409.44  Test_Score: 13225.21  Avg: 13278.34  ENV:  HalfCheetah-v2  DDPG Reward: 13224.39  PG Loss: -1330.2406

#Games: 4983 #Frames: 4983000  Train_Max: 13145.25  Test_Score: 13093.59  Avg: 13231.89  ENV:  HalfCheetah-v2  DDPG Reward: 12799.53  PG Loss: -1330.2690

#Games: 4994 #Frames: 4994000  Train_Max: 13381.56  Test_Score: 13272.81  Avg: 13209.03  ENV:  HalfCheetah-v2  DDPG Reward: 13672.49  PG Loss: -1328.5109

#Games: 5005 #Frames: 5005000  Train_Max: 13440.96  Test_Score: 13167.29  Avg: 13216.19  ENV:  HalfCheetah-v2  DDPG Reward: 13773.54  PG Loss: -1327.3707

Progress Saved
#Games: 5016 #Frames: 5016000  Train_Max: 13375.83  Test_Score: 13193.42  Avg: 13217.03  ENV:  HalfCheetah-v2  DDPG Reward: 13224.12  PG Loss: -1323.2538

#Games: 5027 #Frames: 5027000  Train_Max: 13312.06  Test_Score: 13118.87  Avg: 13232.26  ENV:  HalfCheetah-v2  DDPG Reward: 13332.44  PG Loss: -1321.9703

#Games: 5038 #Frames: 5038000  Train_Max: 13067.36  Test_Score: 13321.06  Avg: 13229.82  ENV:  HalfCheetah-v2  DDPG Reward: 13617.98  PG Loss: -1321.4023

#Games: 5049 #Frames: 5049000  Train_Max: 13210.78  Test_Score: 13264.98  Avg: 13255.48  ENV:  HalfCheetah-v2  DDPG Reward: 13480.94  PG Loss: -1322.9133

Sync from RL --> Nevo
#Games: 5060 #Frames: 5060000  Train_Max: 13242.81  Test_Score: 13254.42  Avg: 13231.44  ENV:  HalfCheetah-v2  DDPG Reward: 13725.95  PG Loss: -1321.8228

#Games: 5071 #Frames: 5071000  Train_Max: 13691.67  Test_Score: 13760.42  Avg: 13214.45  ENV:  HalfCheetah-v2  DDPG Reward: 13551.28  PG Loss: -1322.2798

#Games: 5082 #Frames: 5082000  Train_Max: 13774.46  Test_Score: 13799.77  Avg: 13267.21  ENV:  HalfCheetah-v2  DDPG Reward: 13879.26  PG Loss: -1321.9232

#Games: 5093 #Frames: 5093000  Train_Max: 13704.33  Test_Score: 13608.09  Avg: 13324.66  ENV:  HalfCheetah-v2  DDPG Reward: 13643.45  PG Loss: -1323.4736

#Games: 5104 #Frames: 5104000  Train_Max: 13750.53  Test_Score: 13640.82  Avg: 13376.11  ENV:  HalfCheetah-v2  DDPG Reward: 13816.76  PG Loss: -1323.7776

#Games: 5115 #Frames: 5115000  Train_Max: 13884.09  Test_Score: 13674.11  Avg: 13412.91  ENV:  HalfCheetah-v2  DDPG Reward: 13480.44  PG Loss: -1324.8347

#Games: 5126 #Frames: 5126000  Train_Max: 13754.69  Test_Score: 13694.61  Avg: 13463.60  ENV:  HalfCheetah-v2  DDPG Reward: 13702.14  PG Loss: -1324.9640

#Games: 5137 #Frames: 5137000  Train_Max: 13798.98  Test_Score: 13767.82  Avg: 13513.71  ENV:  HalfCheetah-v2  DDPG Reward: 13491.95  PG Loss: -1326.3113

#Games: 5148 #Frames: 5148000  Train_Max: 13708.38  Test_Score: 13856.13  Avg: 13578.61  ENV:  HalfCheetah-v2  DDPG Reward: 13554.54  PG Loss: -1324.2490

#Games: 5159 #Frames: 5159000  Train_Max: 13681.22  Test_Score: 13604.08  Avg: 13632.12  ENV:  HalfCheetah-v2  DDPG Reward: 13793.63  PG Loss: -1324.2217

Sync from RL --> Nevo
#Games: 5170 #Frames: 5170000  Train_Max: 13473.08  Test_Score: 13632.88  Avg: 13666.03  ENV:  HalfCheetah-v2  DDPG Reward: 13711.06  PG Loss: -1322.8660

#Games: 5181 #Frames: 5181000  Train_Max: 13783.52  Test_Score: 13823.04  Avg: 13703.87  ENV:  HalfCheetah-v2  DDPG Reward: 13675.73  PG Loss: -1323.8684

#Games: 5192 #Frames: 5192000  Train_Max: 13584.80  Test_Score: 13878.06  Avg: 13710.14  ENV:  HalfCheetah-v2  DDPG Reward: 13759.07  PG Loss: -1324.3916

#Games: 5203 #Frames: 5203000  Train_Max: 13780.55  Test_Score: 13830.41  Avg: 13717.96  ENV:  HalfCheetah-v2  DDPG Reward: 13670.51  PG Loss: -1324.6407

Progress Saved
#Games: 5214 #Frames: 5214000  Train_Max: 13825.44  Test_Score: 13718.60  Avg: 13740.20  ENV:  HalfCheetah-v2  DDPG Reward: 13753.45  PG Loss: -1325.9901

#Games: 5225 #Frames: 5225000  Train_Max: 13777.06  Test_Score: 13797.20  Avg: 13747.97  ENV:  HalfCheetah-v2  DDPG Reward: 13689.37  PG Loss: -1326.2358

#Games: 5236 #Frames: 5236000  Train_Max: 13748.74  Test_Score: 13744.54  Avg: 13760.28  ENV:  HalfCheetah-v2  DDPG Reward: 13756.92  PG Loss: -1327.9866

#Games: 5247 #Frames: 5247000  Train_Max: 13723.40  Test_Score: 13786.68  Avg: 13765.28  ENV:  HalfCheetah-v2  DDPG Reward: 13780.07  PG Loss: -1328.1038

#Games: 5258 #Frames: 5258000  Train_Max: 13928.92  Test_Score: 13732.77  Avg: 13767.16  ENV:  HalfCheetah-v2  DDPG Reward: 13410.26  PG Loss: -1327.0732

#Games: 5269 #Frames: 5269000  Train_Max: 13754.88  Test_Score: 13814.94  Avg: 13754.82  ENV:  HalfCheetah-v2  DDPG Reward: 13389.13  PG Loss: -1326.9875

Sync from RL --> Nevo
#Games: 5280 #Frames: 5280000  Train_Max: 13775.57  Test_Score: 13791.64  Avg: 13775.91  ENV:  HalfCheetah-v2  DDPG Reward: 13795.28  PG Loss: -1328.0355

#Games: 5291 #Frames: 5291000  Train_Max: 13837.25  Test_Score: 13771.90  Avg: 13791.79  ENV:  HalfCheetah-v2  DDPG Reward: 13615.42  PG Loss: -1329.6776

#Games: 5302 #Frames: 5302000  Train_Max: 13761.65  Test_Score: 13798.27  Avg: 13786.67  ENV:  HalfCheetah-v2  DDPG Reward: 13628.29  PG Loss: -1330.1373

#Games: 5313 #Frames: 5313000  Train_Max: 13788.09  Test_Score: 13728.42  Avg: 13778.69  ENV:  HalfCheetah-v2  DDPG Reward: 13637.89  PG Loss: -1329.8475

#Games: 5324 #Frames: 5324000  Train_Max: 13782.56  Test_Score: 13804.67  Avg: 13768.49  ENV:  HalfCheetah-v2  DDPG Reward: 13803.48  PG Loss: -1329.7209

#Games: 5335 #Frames: 5335000  Train_Max: 13695.04  Test_Score: 13775.29  Avg: 13777.10  ENV:  HalfCheetah-v2  DDPG Reward: 13917.22  PG Loss: -1330.8759

#Games: 5346 #Frames: 5346000  Train_Max: 13566.34  Test_Score: 13713.58  Avg: 13774.91  ENV:  HalfCheetah-v2  DDPG Reward: 13850.44  PG Loss: -1331.2954

#Games: 5357 #Frames: 5357000  Train_Max: 13689.22  Test_Score: 13740.81  Avg: 13771.82  ENV:  HalfCheetah-v2  DDPG Reward: 13790.28  PG Loss: -1333.0031

#Games: 5368 #Frames: 5368000  Train_Max: 13672.16  Test_Score: 13756.49  Avg: 13767.23  ENV:  HalfCheetah-v2  DDPG Reward: 13707.23  PG Loss: -1332.8256

#Games: 5379 #Frames: 5379000  Train_Max: 13765.45  Test_Score: 13806.40  Avg: 13769.60  ENV:  HalfCheetah-v2  DDPG Reward: 13783.96  PG Loss: -1333.1740

Sync from RL --> Nevo
#Games: 5390 #Frames: 5390000  Train_Max: 13793.30  Test_Score: 13751.95  Avg: 13768.75  ENV:  HalfCheetah-v2  DDPG Reward: 13504.51  PG Loss: -1333.2384

#Games: 5401 #Frames: 5401000  Train_Max: 13672.31  Test_Score: 13747.95  Avg: 13764.78  ENV:  HalfCheetah-v2  DDPG Reward: 13565.65  PG Loss: -1333.4551

Progress Saved
#Games: 5412 #Frames: 5412000  Train_Max: 13760.37  Test_Score: 13740.23  Avg: 13762.38  ENV:  HalfCheetah-v2  DDPG Reward: 13364.83  PG Loss: -1337.2484

#Games: 5423 #Frames: 5423000  Train_Max: 13818.88  Test_Score: 13790.10  Avg: 13756.58  ENV:  HalfCheetah-v2  DDPG Reward: 13746.31  PG Loss: -1336.5120

#Games: 5434 #Frames: 5434000  Train_Max: 13839.90  Test_Score: 13789.69  Avg: 13762.75  ENV:  HalfCheetah-v2  DDPG Reward: 13393.52  PG Loss: -1337.7676

#Games: 5445 #Frames: 5445000  Train_Max: 13749.40  Test_Score: 13816.61  Avg: 13761.25  ENV:  HalfCheetah-v2  DDPG Reward: 13484.59  PG Loss: -1338.2761

#Games: 5456 #Frames: 5456000  Train_Max: 13867.09  Test_Score: 13724.06  Avg: 13765.38  ENV:  HalfCheetah-v2  DDPG Reward: 11809.02  PG Loss: -1338.9197

#Games: 5467 #Frames: 5467000  Train_Max: 13813.71  Test_Score: 13738.87  Avg: 13766.43  ENV:  HalfCheetah-v2  DDPG Reward: 13604.45  PG Loss: -1339.5704

#Games: 5478 #Frames: 5478000  Train_Max: 13751.07  Test_Score: 13764.61  Avg: 13766.23  ENV:  HalfCheetah-v2  DDPG Reward: 13394.60  PG Loss: -1339.2959

#Games: 5489 #Frames: 5489000  Train_Max: 13678.00  Test_Score: 13729.54  Avg: 13767.05  ENV:  HalfCheetah-v2  DDPG Reward: 13687.82  PG Loss: -1340.4941

Sync from RL --> Nevo
#Games: 5500 #Frames: 5500000  Train_Max: 13725.92  Test_Score: 13715.23  Avg: 13759.36  ENV:  HalfCheetah-v2  DDPG Reward: 13140.97  PG Loss: -1340.1051

#Games: 5511 #Frames: 5511000  Train_Max: 13799.99  Test_Score: 13795.34  Avg: 13755.69  ENV:  HalfCheetah-v2  DDPG Reward: 13989.80  PG Loss: -1340.7242

#Games: 5522 #Frames: 5522000  Train_Max: 13678.45  Test_Score: 13746.60  Avg: 13760.43  ENV:  HalfCheetah-v2  DDPG Reward: 13677.75  PG Loss: -1341.4984

#Games: 5533 #Frames: 5533000  Train_Max: 13893.23  Test_Score: 13873.26  Avg: 13761.07  ENV:  HalfCheetah-v2  DDPG Reward: 13689.60  PG Loss: -1342.0479

#Games: 5544 #Frames: 5544000  Train_Max: 13766.40  Test_Score: 13758.14  Avg: 13769.38  ENV:  HalfCheetah-v2  DDPG Reward: 13460.07  PG Loss: -1341.5812

#Games: 5555 #Frames: 5555000  Train_Max: 13748.27  Test_Score: 13780.27  Avg: 13766.23  ENV:  HalfCheetah-v2  DDPG Reward: 13578.98  PG Loss: -1343.3582

#Games: 5566 #Frames: 5566000  Train_Max: 13735.65  Test_Score: 13781.80  Avg: 13762.59  ENV:  HalfCheetah-v2  DDPG Reward: 13631.08  PG Loss: -1343.7489

#Games: 5577 #Frames: 5577000  Train_Max: 13772.76  Test_Score: 13798.27  Avg: 13768.37  ENV:  HalfCheetah-v2  DDPG Reward: 13845.06  PG Loss: -1343.4634

#Games: 5588 #Frames: 5588000  Train_Max: 13815.80  Test_Score: 13479.49  Avg: 13774.31  ENV:  HalfCheetah-v2  DDPG Reward: 14154.58  PG Loss: -1341.7898

#Games: 5599 #Frames: 5599000  Train_Max: 13559.01  Test_Score: 13729.58  Avg: 13745.80  ENV:  HalfCheetah-v2  DDPG Reward: 13917.44  PG Loss: -1341.5850

Sync from RL --> Nevo
#Games: 5610 #Frames: 5610000  Train_Max: 13045.94  Test_Score: 11430.75  Avg: 13745.80  ENV:  HalfCheetah-v2  DDPG Reward: 13565.83  PG Loss: -1341.8079

Progress Saved
#Games: 5621 #Frames: 5621000  Train_Max: 13550.39  Test_Score: 13642.28  Avg: 13517.35  ENV:  HalfCheetah-v2  DDPG Reward: 13712.88  PG Loss: -1341.6659

#Games: 5632 #Frames: 5632000  Train_Max: 13605.90  Test_Score: 13667.14  Avg: 13502.04  ENV:  HalfCheetah-v2  DDPG Reward: 13728.55  PG Loss: -1341.9667

#Games: 5643 #Frames: 5643000  Train_Max: 13697.60  Test_Score: 13659.44  Avg: 13494.10  ENV:  HalfCheetah-v2  DDPG Reward: 13849.86  PG Loss: -1342.2153

#Games: 5654 #Frames: 5654000  Train_Max: 13613.54  Test_Score: 13592.85  Avg: 13472.71  ENV:  HalfCheetah-v2  DDPG Reward: 13820.09  PG Loss: -1343.2474

#Games: 5665 #Frames: 5665000  Train_Max: 13547.14  Test_Score: 13542.83  Avg: 13456.19  ENV:  HalfCheetah-v2  DDPG Reward: 13855.32  PG Loss: -1343.3446

#Games: 5676 #Frames: 5676000  Train_Max: 13597.02  Test_Score: 13535.84  Avg: 13432.44  ENV:  HalfCheetah-v2  DDPG Reward: 13902.26  PG Loss: -1342.7231

#Games: 5687 #Frames: 5687000  Train_Max: 13444.63  Test_Score: 13540.57  Avg: 13407.85  ENV:  HalfCheetah-v2  DDPG Reward: 12395.17  PG Loss: -1341.6115

#Games: 5698 #Frames: 5698000  Train_Max: 13643.22  Test_Score: 13453.10  Avg: 13382.08  ENV:  HalfCheetah-v2  DDPG Reward: 13835.51  PG Loss: -1341.6014

#Games: 5709 #Frames: 5709000  Train_Max: 13665.87  Test_Score: 13548.64  Avg: 13379.44  ENV:  HalfCheetah-v2  DDPG Reward: 13587.69  PG Loss: -1341.0872

Sync from RL --> Nevo
#Games: 5720 #Frames: 5720000  Train_Max: 13483.08  Test_Score: 13477.26  Avg: 13361.34  ENV:  HalfCheetah-v2  DDPG Reward: 13538.97  PG Loss: -1340.2454

#Games: 5731 #Frames: 5731000  Train_Max: 13600.23  Test_Score: 13711.01  Avg: 13565.99  ENV:  HalfCheetah-v2  DDPG Reward: 13859.09  PG Loss: -1342.3021

#Games: 5742 #Frames: 5742000  Train_Max: 13791.87  Test_Score: 13685.74  Avg: 13572.87  ENV:  HalfCheetah-v2  DDPG Reward: 13871.64  PG Loss: -1342.3756

#Games: 5753 #Frames: 5753000  Train_Max: 13763.81  Test_Score: 13648.16  Avg: 13574.73  ENV:  HalfCheetah-v2  DDPG Reward: 14118.63  PG Loss: -1343.2516

#Games: 5764 #Frames: 5764000  Train_Max: 13573.68  Test_Score: 13710.60  Avg: 13573.60  ENV:  HalfCheetah-v2  DDPG Reward: 13835.77  PG Loss: -1343.4832

#Games: 5775 #Frames: 5775000  Train_Max: 13627.17  Test_Score: 13632.79  Avg: 13585.37  ENV:  HalfCheetah-v2  DDPG Reward: 14072.11  PG Loss: -1342.5387

#Games: 5786 #Frames: 5786000  Train_Max: 13678.22  Test_Score: 13664.41  Avg: 13594.37  ENV:  HalfCheetah-v2  DDPG Reward: 13952.99  PG Loss: -1342.8232

